political,year,fips,N,state
5.777290693732464,2012,1,13,ALABAMA
6.999124347739325,2020,1,19,ALABAMA
3.9183511626481207,1996,4,10,ARIZONA
4.9500069915941065,2008,4,12,ARIZONA
4.614009111157586,2012,4,17,ARIZONA
4.946077839164277,2016,4,21,ARIZONA
5.817053487439673,2020,4,43,ARIZONA
5.743440865816375,2016,5,10,ARKANSAS
6.697019635898343,2020,5,11,ARKANSAS
4.740375792905194,1996,6,33,CALIFORNIA
5.423956606618165,2004,6,30,CALIFORNIA
4.961460307278328,2008,6,69,CALIFORNIA
5.393084451829317,2012,6,158,CALIFORNIA
5.478129543868838,2016,6,107,CALIFORNIA
5.560776262026058,2020,6,247,CALIFORNIA
4.36983468111311,1996,8,13,COLORADO
5.053022169858902,2008,8,18,COLORADO
4.816340675042994,2012,8,13,COLORADO
5.688820558665519,2016,8,21,COLORADO
5.284013629193585,2020,8,61,COLORADO
5.8827289436115375,2012,9,10,CONNECTICUT
4.946147609790419,2016,9,13,CONNECTICUT
5.154409787540553,2020,9,29,CONNECTICUT
4.966607703734068,2008,12,19,FLORIDA
5.1787370244311095,2012,12,60,FLORIDA
5.412347168328859,2016,12,38,FLORIDA
5.469927486202783,2020,12,99,FLORIDA
4.15257254825733,1996,13,10,GEORGIA
5.2255488582589855,2012,13,17,GEORGIA
5.966687116344255,2016,13,17,GEORGIA
5.765244868791752,2020,13,46,GEORGIA
4.500458647919263,1996,17,11,ILLINOIS
5.151248046308267,2012,17,42,ILLINOIS
5.307390611945201,2016,17,46,ILLINOIS
5.6705303733315375,2020,17,100,ILLINOIS
5.213345750643482,2012,18,13,INDIANA
4.884318261846152,2016,18,14,INDIANA
6.047028078654399,2020,18,49,INDIANA
4.391517660782812,2012,19,15,IOWA
5.565481139607947,2020,19,19,IOWA
5.236038632498105,2016,20,17,KANSAS
6.25673452729226,2020,20,21,KANSAS
5.059149738273437,2012,22,18,LOUISIANA
5.786077646413007,2020,22,17,LOUISIANA
4.735751903319427,2012,24,24,MARYLAND
5.29975269687513,2016,24,22,MARYLAND
5.661621431412506,2020,24,63,MARYLAND
4.412827607881867,2004,25,14,MASSACHUSETTS
4.685917855225981,2012,25,33,MASSACHUSETTS
5.361531784183027,2016,25,33,MASSACHUSETTS
5.416708773141851,2020,25,60,MASSACHUSETTS
4.015508221616158,1996,26,12,MICHIGAN
4.3732507664666835,2004,26,11,MICHIGAN
5.731917699846029,2008,26,11,MICHIGAN
5.638179627705184,2012,26,33,MICHIGAN
5.409858423359375,2016,26,19,MICHIGAN
5.56044336909931,2020,26,84,MICHIGAN
4.9060387518211135,1996,27,12,MINNESOTA
5.111959410992289,2012,27,38,MINNESOTA
4.500568652271745,2016,27,19,MINNESOTA
5.1893381090477515,2020,27,57,MINNESOTA
5.19282479252036,2012,29,14,MISSOURI
5.94809575169657,2016,29,12,MISSOURI
5.5473491654452065,2020,29,34,MISSOURI
5.682340568053963,2020,31,14,NEBRASKA
4.522190149998382,2012,32,10,NEVADA
5.968790957949811,2020,32,19,NEVADA
5.844142680841843,2020,33,14,NEW HAMPSHIRE
4.641015763396062,2012,34,29,NEW JERSEY
3.443797603225415,2016,34,19,NEW JERSEY
5.168667452876496,2020,34,50,NEW JERSEY
5.714007747025684,2020,35,18,NEW MEXICO
4.08565541782815,1996,36,13,NEW YORK
5.296398979922698,2004,36,18,NEW YORK
4.813104216061425,2008,36,18,NEW YORK
4.682725571624783,2012,36,73,NEW YORK
5.130321671672591,2016,36,47,NEW YORK
5.295127695030876,2020,36,130,NEW YORK
5.541820150151806,2008,37,10,NORTH CAROLINA
4.750481573676904,2012,37,38,NORTH CAROLINA
5.650719616496008,2016,37,29,NORTH CAROLINA
5.9944875521995495,2020,37,67,NORTH CAROLINA
5.276956445177099,2012,39,41,OHIO
5.266002826879591,2016,39,23,OHIO
5.853417585304267,2020,39,69,OHIO
5.966687336791292,2012,41,20,OREGON
5.84801502317435,2020,41,29,OREGON
5.331792847210387,2012,42,57,PENNSYLVANIA
5.088723118433382,2016,42,40,PENNSYLVANIA
5.5174940013506175,2020,42,90,PENNSYLVANIA
4.319665277858938,2012,47,17,TENNESSEE
5.810471696385893,2016,47,21,TENNESSEE
6.501526952772389,2020,47,37,TENNESSEE
5.03218348317772,1996,48,14,TEXAS
5.671960299509903,2008,48,45,TEXAS
5.476576623889562,2012,48,76,TEXAS
5.63989264988915,2016,48,47,TEXAS
5.834546501389948,2020,48,116,TEXAS
5.961325303334313,2020,49,18,UTAH
4.537411414943422,1996,51,32,VIRGINIA
5.043380100973035,2004,51,20,VIRGINIA
5.002758556701107,2012,51,21,VIRGINIA
4.681273364538237,2016,51,13,VIRGINIA
5.30860403351223,2020,51,57,VIRGINIA
5.4250873288443575,2012,53,31,WASHINGTON
5.404853494208314,2016,53,22,WASHINGTON
5.3307245690148335,2020,53,66,WASHINGTON
4.280893082938407,1996,55,13,WISCONSIN
5.032957546490499,2012,55,28,WISCONSIN
4.153427454363001,2016,55,22,WISCONSIN
5.585618595505711,2020,55,50,WISCONSIN
5.650999144283169,2012,40,12,OKLAHOMA
5.945196209323724,2020,40,24,OKLAHOMA
4.785867370052959,2012,45,15,SOUTH CAROLINA
6.576916725955908,2020,45,25,SOUTH CAROLINA
5.403710419426236,2016,16,15,IDAHO
5.941208545675249,2020,16,18,IDAHO
5.0598007435252725,2012,21,18,KENTUCKY
4.849251118659829,2016,21,12,KENTUCKY
6.00973388109421,2020,21,34,KENTUCKY
6.041505574158223,2020,23,11,MAINE
6.017630860818201,2020,54,11,WEST VIRGINIA
5.185334879263259,2020,15,11,HAWAII
