candidate,party_id,value,district_id,N,Q,vQ/N
AIVO PETERSON,KOOS organisatsioon osutab suveräänsusele,11503,EE,11503,1,1.0
MARTIN HELME,Eesti Konservatiivne Rahvaerakond,17895,EE,54580,9,2.950806156101136
ANTI POOLAMETS,Eesti Konservatiivne Rahvaerakond,840,EE,54580,9,0.13851227555881276
HELLE-MOONIKA HELME,Eesti Konservatiivne Rahvaerakond,736,EE,54580,9,0.1213631366801026
HENN PÕLLUAAS,Eesti Konservatiivne Rahvaerakond,474,EE,54580,9,0.07816049835104434
SIIM POHLAK,Eesti Konservatiivne Rahvaerakond,757,EE,54580,9,0.12482594356907292
MERLE KIVEST,Eesti Konservatiivne Rahvaerakond,198,EE,54580,9,0.032649322096005864
RAIN EPLER,Eesti Konservatiivne Rahvaerakond,632,EE,54580,9,0.10421399780139246
ARVO ALLER,Eesti Konservatiivne Rahvaerakond,203,EE,54580,9,0.03347379992671308
JAAK MADISON,Eesti Konservatiivne Rahvaerakond,32845,EE,54580,9,5.41599486991572
EVELYN SEPP,Erakond Eestimaa Rohelised,1134,EE,2248,9,4.540035587188612
RASMUS LAHTVEE,Erakond Eestimaa Rohelised,239,EE,2248,9,0.9568505338078291
ALINA LERNER-VILU,Erakond Eestimaa Rohelised,218,EE,2248,9,0.8727758007117438
OLEV-ANDRES TINN,Erakond Eestimaa Rohelised,58,EE,2248,9,0.23220640569395018
RIIN EHIN,Erakond Eestimaa Rohelised,106,EE,2248,9,0.42437722419928825
KAIA KONSAP,Erakond Eestimaa Rohelised,99,EE,2248,9,0.3963523131672598
LIINA FREIVALD,Erakond Eestimaa Rohelised,122,EE,2248,9,0.4884341637010676
TUULA RAIDNA,Erakond Eestimaa Rohelised,50,EE,2248,9,0.2001779359430605
MARKO KAASIK,Erakond Eestimaa Rohelised,222,EE,2248,9,0.8887900355871886
MARGUS TSAHKNA,Erakond Eesti 200,1416,EE,9587,9,1.3293000938771253
KRISTINA KALLAS,Erakond Eesti 200,1488,EE,9587,9,1.3968916240742673
GRIGORE-KALEV STOICESCU,Erakond Eesti 200,1678,EE,9587,9,1.575258162094503
LIISA-LY PAKOSTA,Erakond Eesti 200,383,EE,9587,9,0.3595493897986857
IGOR TARO,Erakond Eesti 200,403,EE,9587,9,0.3783248148534474
IRJA LUTSAR,Erakond Eesti 200,297,EE,9587,9,0.2788150620632106
HENDRIK JOHANNES TERRAS,Erakond Eesti 200,1449,EE,9587,9,1.360279545217482
KADRI TALI,Erakond Eesti 200,217,EE,9587,9,0.20371336184416397
INDREK TARAND,Erakond Eesti 200,2256,EE,9587,9,2.117867946177115
MARINA KALJURAND,Sotsiaaldemokraatlik Erakond,45626,EE,71171,9,5.769681471385817
SVEN MIKSER,Sotsiaaldemokraatlik Erakond,9998,EE,71171,9,1.2643070913714856
KATRI RAIK,Sotsiaaldemokraatlik Erakond,2851,EE,71171,9,0.36052605696140283
TANEL KIIK,Sotsiaaldemokraatlik Erakond,2083,EE,71171,9,0.26340784870242095
RIINA SIKKUT,Sotsiaaldemokraatlik Erakond,1786,EE,71171,9,0.2258504166022678
IVARI PADAR,Sotsiaaldemokraatlik Erakond,1221,EE,71171,9,0.15440277641174074
NATALIE METS,Sotsiaaldemokraatlik Erakond,3526,EE,71171,9,0.4458838571890236
VOOTELE PÄI,Sotsiaaldemokraatlik Erakond,3090,EE,71171,9,0.3907490410419974
JEVGENI OSSINOVSKI,Sotsiaaldemokraatlik Erakond,990,EE,71171,9,0.12519144033384383
RIHO TERRAS,ISAMAA Erakond,23917,EE,79165,9,2.7190425061580243
URMAS REINSALU,ISAMAA Erakond,14248,EE,79165,9,1.6198067327733214
URVE PARIS PALO,ISAMAA Erakond,1495,EE,79165,9,0.1699614728731131
RIINA SOLMAN,ISAMAA Erakond,1498,EE,79165,9,0.17030253268489862
TÕNIS LUKAS,ISAMAA Erakond,1593,EE,79165,9,0.1811027600581065
VIRVE LINDER,ISAMAA Erakond,1001,EE,79165,9,0.11380029053243226
ÜLLAR SAAREMÄE,ISAMAA Erakond,1543,EE,79165,9,0.1754184298616813
AHTI KALLIKORM,ISAMAA Erakond,258,EE,79165,9,0.02933114381355397
JÜRI RATAS,ISAMAA Erakond,33612,EE,79165,9,3.8212341312448683
URMAS PAET,Eesti Reformierakond,35577,EE,66014,9,4.850380222377072
YOKO ALENDER,Eesti Reformierakond,3423,EE,66014,9,0.4666737358742085
LUUKAS KRISTJAN ILVES,Eesti Reformierakond,5157,EE,66014,9,0.7030781349410731
MARIA JUFEREVA-SKURATOVSKI,Eesti Reformierakond,193,EE,66014,9,0.026312600357499924
MARKO MIHKELSON,Eesti Reformierakond,7664,EE,66014,9,1.0448692701548157
HANAH LAHE,Eesti Reformierakond,3330,EE,66014,9,0.4539946072045324
KARMEN JOLLER,Eesti Reformierakond,1002,EE,66014,9,0.13660738631199443
MAARJA METSTAK,Eesti Reformierakond,277,EE,66014,9,0.03776471657527191
HANNO PEVKUR,Eesti Reformierakond,9391,EE,66014,9,1.2803193262035326
MIHHAIL KÕLVART,Eesti Keskerakond,27565,EE,45758,9,5.421674898378425
LAURI LAATS,Eesti Keskerakond,2573,EE,45758,9,0.5060754403601556
ERKI SAVISAAR,Eesti Keskerakond,286,EE,45758,9,0.056252458586476685
ANNELI OTT,Eesti Keskerakond,264,EE,45758,9,0.05192534638751694
ANDREI KOROBEINIK,Eesti Keskerakond,493,EE,45758,9,0.09696665064032518
JANEK MÄGGI,Eesti Keskerakond,113,EE,45758,9,0.022225621749202326
MONIKA HAUKANÕMM,Eesti Keskerakond,126,EE,45758,9,0.024782551684951266
AIVAR RIISALU,Eesti Keskerakond,195,EE,45758,9,0.038353949036234104
JANA TOOM,Eesti Keskerakond,14143,EE,45758,9,2.7817430831767123
LAVLY PERLING,Erakond Parempoolsed,7883,EE,25186,9,2.816922099579131
RAINER SAKS,Erakond Parempoolsed,12384,EE,25186,9,4.42531565155245
ILMAR RAAG,Erakond Parempoolsed,3279,EE,25186,9,1.1717223854522354
ANNELA ANGER-KRAAVI,Erakond Parempoolsed,697,EE,25186,9,0.24906694195187803
MARTI AAVIK,Erakond Parempoolsed,146,EE,25186,9,0.052171841499245614
EERO RAUN,Erakond Parempoolsed,200,EE,25186,9,0.07146827602636385
KADRI KULLMAN,Erakond Parempoolsed,172,EE,25186,9,0.061462717382672914
ANDRES KAARMANN,Erakond Parempoolsed,143,EE,25186,9,0.05109981735885016
KRISTJAN VANASELJA,Erakond Parempoolsed,282,EE,25186,9,0.10077026919717304
TANEL TALVE,Üksikkandidaadid,1182,EE,2763,5,2.1389793702497286
MIKE CALAMUS,Üksikkandidaadid,989,EE,2763,5,1.7897213174086137
VSEVOLOD JÜRGENSON,Üksikkandidaadid,113,EE,2763,5,0.2044878754976475
ANDRES INN,Üksikkandidaadid,111,EE,2763,5,0.2008686210640608
KALLE GRÜNTHAL,Üksikkandidaadid,368,EE,2763,5,0.6659428157799493
